employee_id,name,age,department,salary,city,experience_years,project_count,performance_score,product_purchased,purchase_amount,order_status,rating,bonus,tax_percent
1,Vikram Gupta,40,Operations,51026,Chennai,18,9,4.0,Headphones,13687,Cancelled,2,13520,11.12
2,Karan Mehta,26,Sales,91008,Pune,19,7,4.84,Camera,9794,Cancelled,5,17728,28.88
3,Rohit Jadhav,22,Operations,104326,Hyderabad,13,7,1.17,Camera,20595,Returned,3,3758,5.63
4,Vikram Gupta,57,HR,106924,Mumbai,13,6,2.99,Mouse,36153,Cancelled,1,17846,9.09
5,Amit Sharma,42,Marketing,32810,Delhi,14,14,3.53,Keyboard,96159,Pending,5,4262,12.18
6,Karan Sharma,25,Sales,41467,Delhi,13,3,3.79,Tablet,30783,Cancelled,5,19508,5.57
7,Neha Kumar,27,IT,90225,Chennai,10,14,1.97,Headphones,93523,Cancelled,5,13711,17.7
8,Pooja Iyer,32,Sales,51667,Bangalore,7,5,3.18,Headphones,63932,Returned,5,4529,16.43
9,Neha Gupta,38,IT,38527,Chennai,20,14,2.09,Keyboard,51936,Cancelled,3,19655,19.02
10,Rohit Nair,51,Finance,69195,Hyderabad,20,0,2.67,Camera,80355,Pending,2,5013,21.67
11,Pooja Sharma,55,Marketing,72797,Bangalore,11,10,3.4,Keyboard,26446,Completed,5,2168,15.77
12,Riya Jadhav,35,Marketing,97728,Mumbai,8,14,2.41,Laptop,96918,Pending,3,787,15.6
13,Vikram Mehta,25,Finance,95629,Bangalore,14,12,1.06,Mouse,67752,Pending,2,7368,10.81
14,Amit Singh,41,HR,63797,Kolkata,17,10,2.17,Tablet,36429,Returned,4,14766,5.14
15,Neha Patel,53,Support,38138,Bangalore,19,5,1.86,Mouse,87702,Cancelled,2,1110,14.38
16,Raj Sharma,43,Support,106796,Pune,1,9,3.93,Phone,19524,Cancelled,2,2403,13.2
17,Rohit Joshi,40,IT,90097,Bangalore,2,12,3.2,Keyboard,22092,Completed,1,17643,13.07
18,Amit Nair,26,Marketing,96869,Kolkata,13,11,1.03,Mouse,61699,Returned,2,14869,7.64
19,Amit Singh,49,Operations,55514,Hyderabad,15,4,1.54,Monitor,11987,Returned,3,2579,7.87
20,Pooja Singh,51,Operations,101346,Pune,1,15,2.96,Tablet,11206,Completed,2,929,9.17
21,Vikas Sharma,47,Finance,40147,Delhi,14,13,1.6,Camera,99056,Pending,2,2178,15.24
22,Rahul Patel,43,Finance,97641,Chennai,14,3,1.3,Camera,51019,Completed,1,18623,23.27
23,Raj Iyer,47,Operations,52647,Mumbai,11,8,3.55,Headphones,44384,Returned,3,5027,29.27
24,Neha Sharma,50,Marketing,65829,Bangalore,2,6,2.74,Monitor,78418,Returned,2,11123,10.13
25,Vikas Gupta,23,Support,88647,Kolkata,13,4,2.2,Tablet,34654,Cancelled,2,4504,22.37
26,Karan Nair,39,HR,104574,Mumbai,7,2,2.95,Laptop,7334,Returned,4,17547,23.77
27,Raj Iyer,59,Support,47991,Mumbai,18,1,2.76,Tablet,71363,Completed,4,7985,28.88
28,Vikas Nair,50,Sales,85393,Chennai,12,14,2.74,Laptop,7301,Completed,2,15085,12.42
29,Vikas Gupta,40,HR,67675,Pune,10,11,4.68,Keyboard,95167,Returned,1,13716,25.28
30,Vikas Nair,33,Operations,58283,Chennai,16,7,1.13,Monitor,20269,Completed,2,12697,24.34
31,Riya Singh,36,Marketing,96260,Hyderabad,15,2,4.25,Laptop,79319,Returned,4,8935,15.84
32,Pooja Patel,22,IT,32884,Pune,3,13,1.92,Monitor,33379,Returned,2,16744,13.57
33,Neha Gupta,49,Sales,77594,Delhi,13,5,2.41,Monitor,39324,Returned,3,3877,28.61
34,Vikas Mehta,33,HR,52842,Delhi,10,3,2.48,Headphones,18329,Pending,3,15639,17.34
35,Anita Sharma,58,Operations,68444,Kolkata,14,6,3.29,Camera,18804,Returned,2,17492,22.0
36,Karan Jadhav,21,HR,97718,Mumbai,14,14,3.43,Tablet,35668,Pending,5,857,16.69
37,Anita Singh,60,HR,105592,Chennai,3,0,2.9,Camera,79048,Completed,2,7864,28.18
38,Riya Joshi,28,Operations,68704,Mumbai,7,10,1.42,Mouse,11509,Returned,3,5577,24.74
39,Karan Mehta,51,Operations,94765,Delhi,0,11,1.61,Keyboard,99640,Cancelled,2,16499,8.68
40,Anita Kumar,41,Finance,113980,Delhi,16,15,3.88,Laptop,37103,Pending,3,445,21.96
41,Priya Nair,26,IT,73456,Kolkata,2,6,1.4,Tablet,12246,Cancelled,2,12525,20.77
42,Sneha Iyer,42,Marketing,78395,Pune,9,0,2.1,Monitor,66734,Pending,1,1113,15.47
43,Riya Iyer,39,Finance,91737,Hyderabad,18,15,4.52,Headphones,92682,Completed,1,16075,10.85
44,Amit Jadhav,49,Marketing,78377,Hyderabad,17,14,4.27,Monitor,57863,Returned,3,15889,27.55
45,Sneha Mehta,30,Finance,91700,Chennai,8,7,1.58,Keyboard,18621,Completed,4,19101,23.61
46,Vikas Gupta,30,HR,38461,Chennai,17,2,2.74,Tablet,68386,Returned,5,15975,28.51
47,Sneha Singh,60,HR,38410,Hyderabad,4,12,1.14,Monitor,29133,Completed,5,19746,8.88
48,Amit Mehta,58,IT,102928,Delhi,0,5,3.38,Tablet,42584,Pending,3,12919,12.43
49,Vikas Nair,38,Finance,96418,Delhi,15,12,2.01,Camera,23367,Completed,5,6216,5.72
